capacite;effectif_total_candidats;effectif_total_candidates;effectif_total_proposition_admission;effectif_total_admis;effectif_total_admises;effectif_total_admis_boursiers_neo_bac;effectif_total_admis_neo_bac;effectif_admis_meme_academie
15;63;4;38;10;1;5;10;8
30;347;136;125;17;4;4;16;11
28;476;272;107;26;21;3;22;11
18;101;83;27;14;13;3;13;4
52;754;374;458;41;17;3;33;9
78;855;486;504;64;37;5;61;18
28;478;232;139;26;15;8;19;16
16;139;60;72;4;1;2;3;3
16;194;66;76;9;3;0;7;5
35;266;24;101;34;1;9;34;24
20;151;84;68;8;5;1;6;4
20;317;163;109;22;11;4;17;16
24;140;74;76;15;5;4;12;12
12;36;16;28;5;2;3;5;4
18;182;45;54;13;1;2;10;9
12;1085;358;26;12;7;0;7;2
54;740;66;426;48;2;4;42;20
27;613;415;164;31;18;2;22;11
21;361;23;90;11;0;4;10;8
30;423;308;138;26;19;5;15;5
20;92;9;48;13;1;1;9;7
27;242;55;98;18;6;5;13;5
32;488;314;181;34;26;1;27;13
162;4339;2061;641;169;95;24;168;96
35;402;109;137;24;3;2;19;5
48;842;283;248;26;11;2;23;14
26;1051;620;86;25;19;3;17;13
24;411;82;82;14;0;4;14;13
22;100;56;61;9;4;2;7;7
46;565;48;227;42;4;4;39;24
104;704;340;255;105;60;17;89;80
35;236;118;68;15;7;2;6;4
35;453;226;102;14;7;4;8;6
19;210;90;44;9;4;2;9;2
54;611;113;227;48;4;7;41;10
24;757;420;109;21;17;5;18;10
24;820;474;117;25;17;9;21;19
24;149;11;79;17;0;6;13;10
24;837;585;165;25;19;3;23;12
24;588;291;155;20;12;4;17;17
24;969;158;111;25;1;7;19;15
30;179;17;75;23;1;0;20;18
35;211;132;126;20;16;5;17;15
66;523;372;241;60;51;6;43;33
35;182;92;86;11;9;1;5;5
32;374;257;103;29;20;2;14;12
30;489;175;101;22;6;3;19;15
30;684;233;110;29;10;2;21;13
104;2109;189;648;116;15;19;86;49
52;3077;2225;359;51;43;12;45;26
78;2173;664;373;78;16;10;55;34
84;2559;1402;508;83;55;23;80;55
30;190;148;56;14;9;1;10;7
30;180;10;75;21;0;1;21;18
35;1210;501;142;17;7;5;14;14
