capacite;effectif_total_candidats;effectif_total_candidates;effectif_total_proposition_admission;effectif_total_admis;effectif_total_admises;effectif_total_admis_boursiers_neo_bac;effectif_total_admis_neo_bac;effectif_admis_meme_academie
36;899;189;495;19;3;0;12;6
80;569;282;347;86;50;6;79;55
22;261;36;75;22;2;9;17;17
10;132;105;20;11;9;3;11;4
36;739;350;165;16;7;0;11;2
16;81;40;55;13;10;3;6;2
6;90;80;17;6;5;1;4;4
6;64;59;19;4;4;0;2;2
6;80;75;19;8;7;1;3;3
15;70;55;26;4;4;0;1;1
24;69;5;36;17;1;1;17;7
50;419;311;133;23;18;2;18;10
45;409;268;187;14;9;2;11;10
45;467;195;254;31;10;5;29;14
12;38;27;31;0;0;0;0;0
17;139;86;72;12;8;6;11;7
48;1749;450;499;48;15;0;48;43
40;351;289;75;40;33;3;30;8
48;1251;828;484;47;33;5;45;13
21;337;137;168;11;3;0;11;9
15;301;87;51;15;2;7;10;10
35;489;264;277;24;13;3;19;6
25;409;275;230;34;19;6;20;10
16;42;23;34;2;1;1;1;1
20;710;375;151;20;9;4;18;3
16;159;36;62;15;2;2;12;9
30;655;196;367;16;7;2;8;3
18;88;74;40;17;14;7;16;16
16;164;126;33;15;12;6;12;11
35;918;500;145;30;17;8;27;22
18;36;22;33;5;2;1;4;3
12;149;9;27;12;0;1;11;1
30;145;79;109;25;12;1;19;11
24;831;629;81;24;19;1;16;5
40;3606;731;1653;61;8;3;61;5
25;344;125;77;21;6;5;14;11
72;141;58;111;34;14;0;26;14
15;327;291;18;15;15;4;5;5
15;370;289;101;15;14;2;10;6
30;230;75;140;12;6;1;8;6
15;205;82;57;12;5;5;12;8
10;179;67;36;12;1;0;11;11
15;26;7;25;6;1;0;3;3
15;97;6;50;7;0;1;6;4
15;1236;971;92;14;11;6;7;7
24;403;246;168;6;3;0;4;4
15;27;14;12;4;3;0;1;1
24;109;37;75;15;3;5;11;9
12;74;2;41;12;0;2;9;9
45;229;132;117;19;11;0;15;10
25;32;6;0;0;0;0;0;0
25;86;64;58;7;5;0;6;6
12;7;1;7;3;0;0;0;0
20;24;14;13;8;6;1;4;3
20;32;10;16;7;4;1;3;3
20;190;108;87;13;8;1;8;7
12;10;1;8;5;0;1;1;1
12;7;2;7;3;2;1;1;1
24;130;49;64;12;4;4;11;4
19;36;10;12;2;1;0;1;1
15;10;9;10;4;4;2;3;1
19;71;36;35;7;5;2;6;2
90;148;19;95;27;3;0;7;6
3;24;10;6;3;2;0;1;0
3;139;33;1;0;0;0;0;0
5;91;27;4;0;0;0;0;0
3;180;21;1;0;0;0;0;0
3;12;3;2;0;0;0;0;0
1;41;6;0;0;0;0;0;0
1;11;2;0;0;0;0;0;0
2;70;17;2;2;0;0;0;0
2;16;1;0;0;0;0;0;0
3;116;29;5;3;0;0;3;3
15;38;12;21;1;0;0;1;1
10;58;22;30;6;0;1;4;3
10;63;17;37;6;0;0;4;4
10;70;46;30;8;5;1;7;5
2;64;12;0;0;0;0;0;0
1;32;8;0;0;0;0;0;0
19;3142;2571;524;16;15;2;9;0
12;8;0;3;2;0;1;2;2
12;2;0;1;1;0;0;1;0
14;60;44;18;6;5;1;1;1
4;39;33;6;4;4;0;1;0
113;4110;1362;888;118;39;12;116;73
180;8542;2377;3759;173;36;28;160;101
82;4301;1185;2380;73;27;10;67;38
100;1611;105;455;99;5;14;97;47
400;7315;2159;1079;388;199;22;334;82
23;669;76;40;26;3;7;26;6
24;1628;273;1309;9;0;0;9;9
296;2637;658;2130;184;56;7;184;107
135;1620;648;1036;122;75;13;122;58
80;1259;277;997;20;3;7;20;13
240;3065;674;2183;238;35;22;238;150
120;4059;724;1627;134;13;7;133;30
50;1844;438;1392;38;9;3;37;24
120;2389;502;1003;138;36;12;138;18
96;2087;743;710;93;25;9;92;65
30;3124;998;836;34;10;2;32;21
130;2866;586;2542;82;9;2;82;18
6;168;11;30;5;0;2;5;5
215;9940;2787;4773;207;44;19;180;28
6;92;3;19;4;0;0;3;3
100;409;176;253;47;25;9;32;30
40;5129;1463;2700;43;15;3;38;14
5;141;9;76;6;1;3;6;3
45;1730;404;1509;20;5;2;20;3
30;1246;390;949;20;10;2;20;5
35;1802;393;1475;18;7;0;18;16
21;4914;1582;1122;21;11;5;21;3
25;215;16;53;25;3;2;23;15
32;427;291;149;20;14;7;10;9
35;446;306;181;23;16;8;19;17
13;95;7;58;9;2;2;9;8
35;709;378;170;33;16;13;28;24
24;439;62;102;23;3;7;18;16
30;406;282;132;24;17;2;20;11
15;48;1;30;6;0;1;4;2
24;607;429;167;21;14;2;12;9
15;164;24;32;8;0;1;7;5
33;220;126;90;22;14;8;21;17
22;85;56;47;15;11;7;11;11
48;234;133;135;27;16;8;25;22
15;928;356;59;15;4;2;13;3
15;125;8;53;11;1;3;9;9
18;43;17;40;14;7;0;3;2
52;756;81;485;39;5;11;29;17
35;81;71;41;22;20;5;15;12
35;384;194;170;28;13;10;18;14
56;299;76;152;42;13;2;31;22
25;22;5;21;2;1;0;0;0
35;207;114;115;24;13;7;18;14
28;913;494;229;26;16;2;19;10
60;1661;925;685;60;32;7;47;29
25;363;98;106;15;1;5;8;8
24;272;25;98;21;1;5;17;14
30;630;481;129;35;24;7;24;24
84;505;245;140;83;38;11;59;50
30;622;66;148;30;1;8;26;23
36;582;186;344;32;8;0;31;19
24;205;101;107;21;6;2;15;12
104;841;101;448;90;9;11;63;58
94;951;355;574;83;29;2;82;65
26;2113;1180;101;25;17;4;20;1
12;317;125;53;10;8;4;7;7
20;279;130;89;10;1;4;9;7
30;338;219;134;21;10;3;18;14
24;154;74;56;7;5;2;5;5
9;40;4;16;6;0;3;5;5
9;22;4;17;5;1;0;3;3
24;165;8;62;11;0;3;8;7
80;866;491;359;79;46;20;64;57
24;404;170;63;15;11;4;9;9
6;57;5;13;6;0;1;3;3
24;332;219;98;22;16;7;17;12
24;341;165;118;22;10;7;16;15
15;212;126;61;11;5;5;9;6
14;62;1;32;7;0;2;5;4
80;899;79;423;64;3;6;40;20
32;1162;227;173;31;3;5;20;15
15;400;75;67;10;4;3;6;4
15;130;11;66;11;0;6;10;9
18;265;31;105;12;0;1;9;3
45;1623;1185;268;43;27;14;31;20
24;219;144;75;24;13;5;24;12
15;69;37;38;9;6;2;6;5
40;212;128;124;26;14;3;16;8
18;857;417;94;11;4;4;9;6
24;372;84;77;19;2;2;13;11
48;1892;563;527;48;9;5;48;41
70;3053;1594;257;70;43;38;48;47
35;1314;810;198;34;24;20;25;25
48;713;520;236;48;34;9;47;42
24;368;216;60;24;14;11;24;23
30;1109;783;122;15;15;3;9;9
32;1088;641;178;28;16;14;15;14
30;1279;193;151;25;4;8;13;13
30;819;582;147;28;22;13;20;20
35;765;464;189;34;19;12;23;20
30;336;41;124;17;2;4;9;6
30;499;70;146;29;0;12;20;20
28;89;41;60;24;16;16;24;17
24;187;9;92;23;1;10;21;21
175;2698;1600;372;175;114;40;139;54
32;636;464;155;33;23;6;19;18
24;84;48;63;13;10;6;13;12
35;559;393;87;40;31;2;25;21
53;702;578;128;56;51;11;28;11
84;613;398;290;68;45;8;44;25
104;1006;97;525;85;1;25;64;56
104;1206;282;605;98;24;15;64;51
60;3441;1797;394;64;37;26;58;54
35;422;219;142;29;13;8;23;22
23;480;225;77;9;4;1;9;8
24;460;41;136;19;1;8;16;13
35;1214;903;290;31;24;13;22;17
18;265;140;109;12;3;3;8;6
15;134;7;62;15;0;4;9;8
32;365;138;97;12;6;2;6;6
35;260;128;149;18;4;0;5;5
18;424;295;73;16;12;2;14;13
52;630;279;382;38;13;3;28;24
162;2633;1265;545;160;98;21;148;127
14;343;54;76;8;0;1;7;7
24;215;7;85;16;1;3;8;7
26;69;25;29;9;3;0;7;7
25;212;191;94;19;17;3;16;14
12;60;44;39;11;10;2;6;5
36;200;98;105;28;14;1;18;15
15;240;31;65;13;1;1;12;12
50;783;59;266;50;2;4;38;27
50;705;242;258;40;15;2;34;23
15;223;81;63;10;1;1;5;1
12;143;18;37;8;0;1;7;7
80;68;45;44;11;7;1;8;4
54;482;39;307;25;1;2;14;3
24;669;211;254;22;3;0;21;15
45;380;38;166;35;1;9;34;12
30;729;498;183;27;19;4;23;14
20;167;21;81;13;2;2;12;11
15;85;8;39;6;0;1;3;3
100;2003;394;586;110;28;11;106;45
16;109;49;30;3;0;0;0;0
11;148;65;35;4;2;0;4;3
18;220;152;77;13;12;5;11;9
24;567;295;104;21;12;6;18;16
36;541;261;117;34;13;6;32;26
24;319;147;96;17;6;3;10;10
30;685;557;145;23;19;6;19;15
19;454;226;89;16;8;5;12;12
16;302;150;74;13;5;2;5;5
30;188;33;49;12;0;3;10;10
30;191;41;76;26;7;8;24;20
24;187;63;75;12;2;1;11;10
24;226;23;141;21;2;5;20;7
22;143;10;82;19;0;3;15;14
18;361;109;67;18;6;5;15;10
30;400;111;133;27;6;5;24;8
30;573;72;149;29;1;0;27;13
12;87;3;35;4;0;1;4;3
38;180;34;94;30;1;6;25;15
32;315;130;89;22;6;3;20;13
78;765;317;383;70;42;7;52;24
33;320;197;163;27;16;4;21;18
33;281;148;134;24;12;4;14;13
34;227;109;121;30;12;5;11;11
34;218;185;120;30;27;8;21;19
52;1002;677;385;51;34;9;38;22
15;85;10;41;16;1;3;13;5
56;865;706;187;55;48;8;42;11
15;187;47;55;8;3;1;8;6
24;882;751;135;23;23;7;18;16
15;108;36;52;10;4;3;6;5
24;135;10;86;10;1;3;6;6
48;944;258;458;48;7;5;48;45
35;522;51;191;32;1;11;26;24
35;254;125;128;30;15;6;27;26
29;713;325;40;28;11;3;20;13
30;423;362;190;14;13;4;9;9
15;184;44;61;12;4;1;2;0
24;187;16;75;12;1;2;11;1
24;240;93;80;23;7;5;22;10
35;558;310;137;31;20;10;21;18
28;532;398;90;27;17;3;24;15
52;578;324;263;49;28;4;39;32
26;545;300;141;26;12;2;25;12
10;33;5;20;6;1;4;5;5
36;296;141;195;23;8;4;20;20
36;415;214;153;28;14;8;23;21
15;204;32;56;7;0;1;6;6
24;461;283;123;21;15;7;14;14
24;491;52;112;24;3;6;20;19
72;947;528;566;49;28;6;40;25
28;316;143;87;18;7;0;7;4
17;220;86;55;16;6;1;15;15
56;638;60;376;50;6;17;30;24
35;429;238;201;31;12;12;24;23
28;214;144;71;15;9;2;10;9
15;119;6;58;10;0;2;9;9
24;449;129;87;18;4;7;17;12
16;227;112;62;12;4;1;7;6
168;2215;1080;801;172;74;30;132;123
26;200;125;104;18;11;1;17;15
40;183;51;39;4;1;1;4;2
35;231;42;133;22;4;5;16;6
24;736;463;122;22;21;4;13;11
15;146;13;54;11;0;5;9;8
15;158;19;51;5;0;0;4;4
15;126;13;54;9;1;2;6;6
55;3052;851;347;61;18;0;61;33
18;103;10;43;11;1;1;8;8
18;185;58;55;15;5;3;6;6
35;256;124;164;23;9;5;16;15
35;1378;633;128;16;7;4;10;9
15;139;10;59;10;0;3;7;7
36;81;45;72;20;8;4;18;17
84;1228;599;384;82;55;24;73;59
14;80;7;39;10;0;0;8;6
16;113;73;57;4;2;0;2;2
20;173;82;60;9;4;0;7;7
16;103;49;44;8;4;3;7;3
50;405;89;173;42;8;4;28;17
24;252;147;103;18;13;7;18;17
35;591;276;137;33;19;8;26;24
35;204;108;105;22;8;7;22;21
35;955;513;158;37;23;10;30;29
35;464;201;154;33;14;2;18;17
32;290;82;115;25;3;2;19;6
35;1005;616;193;20;16;4;14;11
20;177;35;64;20;3;2;20;7
35;451;369;168;21;19;4;13;13
30;237;25;116;22;2;6;15;13
35;1010;510;236;28;14;8;20;15
35;120;59;75;14;6;1;11;11
35;200;92;108;22;9;4;15;15
35;456;231;189;34;13;9;32;32
35;202;98;126;17;6;3;12;12
76;996;101;338;74;9;11;65;61
35;519;247;153;31;14;6;29;29
33;296;36;133;31;5;4;26;26
30;379;109;233;20;2;1;19;19
90;534;141;324;62;19;5;59;57
170;2511;1269;682;168;106;25;157;146
28;102;45;32;5;1;0;2;2
50;103;33;80;24;7;2;23;23
58;1407;830;194;61;46;7;56;55
15;124;9;42;11;1;4;8;8
30;530;55;129;27;1;11;23;17
30;684;101;127;25;4;9;20;12
30;453;71;142;13;2;4;12;4
34;363;175;149;26;8;7;21;20
15;83;8;42;12;0;2;9;8
34;342;78;110;21;2;4;16;9
30;346;190;111;27;14;15;26;21
38;517;256;137;31;16;16;24;22
15;260;34;84;15;0;3;13;12
35;751;350;182;31;16;16;29;28
12;155;76;72;9;3;2;6;4
96;4462;1328;299;95;24;9;89;58
96;2810;2009;498;96;74;11;96;36
30;402;141;116;30;9;14;30;23
15;223;76;83;15;8;3;10;8
24;338;53;117;22;3;6;9;6
30;537;272;157;31;12;6;30;12
30;1505;1064;221;34;27;6;34;12
59;1577;970;263;58;42;23;45;41
70;1198;599;309;68;35;23;47;43
50;3575;2752;233;53;48;12;41;19
12;36;1;21;6;0;1;6;6
15;183;23;76;13;0;0;7;2
30;284;18;156;26;0;5;19;16
24;245;130;142;22;12;4;12;11
48;648;290;260;31;19;5;26;22
24;283;149;140;19;6;2;9;5
35;681;456;147;29;25;6;25;18
25;363;290;70;14;12;0;13;6
90;1068;630;399;90;55;8;71;45
25;531;434;58;25;25;4;24;8
25;435;359;70;19;19;5;18;4
20;45;34;26;5;3;0;4;2
25;531;433;55;25;22;3;25;4
20;607;155;43;26;9;1;11;3
52;1039;105;324;53;2;11;42;31
30;2556;1916;213;29;25;8;23;18
28;412;37;163;26;2;4;16;13
35;358;31;235;16;2;2;14;11
30;337;242;140;29;20;3;26;25
30;434;24;139;29;3;10;19;14
24;190;18;103;15;0;4;11;8
15;230;40;73;15;1;6;13;10
96;2844;1040;388;96;40;12;96;84
96;2575;1814;532;93;52;7;93;69
96;1627;1231;585;92;68;18;88;53
48;1592;1053;366;48;31;4;45;27
30;468;55;129;29;1;7;24;24
18;107;45;52;18;5;3;12;8
35;1411;659;199;35;17;13;34;34
30;928;90;144;26;1;6;23;21
30;483;97;138;20;2;7;14;10
20;393;78;97;17;3;0;15;10
30;493;287;101;27;15;8;24;17
30;1524;1202;64;30;28;4;28;12
52;469;160;198;36;13;2;26;17
28;189;170;105;22;19;6;14;13
34;240;97;122;29;13;1;13;13
40;373;333;188;34;31;8;23;19
27;440;74;145;30;5;5;23;18
20;715;510;73;18;15;0;10;9
35;623;310;201;32;13;8;19;18
60;744;131;141;38;8;5;36;20
112;3541;1805;516;113;67;15;108;94
71;2225;1542;353;60;56;14;45;38
36;521;283;155;30;15;7;21;13
32;752;434;137;30;17;5;25;21
34;2152;1155;257;33;19;11;27;23
28;499;225;107;27;10;4;19;16
85;2550;1590;196;84;64;11;80;30
35;747;433;145;22;10;14;21;20
132;2771;1064;755;132;49;13;131;90
45;664;487;297;34;28;5;31;24
36;1958;1068;232;37;23;23;31;24
24;401;82;147;17;2;5;12;10
26;411;22;116;22;0;3;16;16
35;529;345;189;31;20;18;28;26
27;274;91;94;24;6;3;18;3
28;1444;1127;243;27;20;6;20;7
32;290;159;87;16;11;2;13;12
18;831;257;168;13;5;1;9;6
35;2464;1705;173;33;28;5;24;9
84;2204;1125;426;91;56;30;85;52
30;580;536;137;27;27;6;21;14
35;918;652;253;28;22;11;17;16
155;2765;553;792;155;39;18;140;86
104;2097;180;680;103;7;11;93;70
84;1589;1281;285;88;75;13;59;32
32;544;349;165;34;22;7;28;20
48;522;183;250;43;13;4;42;39
30;103;41;79;20;7;2;20;17
35;142;63;92;24;8;0;16;15
35;162;10;89;35;0;7;29;27
50;165;114;110;38;31;8;29;29
30;169;57;58;30;2;5;30;28
70;2399;1101;471;65;33;18;48;44
78;691;63;185;77;7;12;75;54
72;2506;2006;301;72;61;11;68;46
30;243;53;113;12;4;0;7;4
96;1912;598;647;92;25;9;90;44
48;635;444;343;48;36;9;48;32
36;1126;653;151;35;24;9;30;25
24;287;37;105;22;1;8;17;17
42;769;337;200;38;15;5;25;24
15;163;12;62;11;0;2;9;9
16;111;14;44;13;2;1;11;7
23;712;347;114;27;18;4;25;14
34;513;256;116;33;18;13;28;27
24;254;139;117;17;9;4;13;12
32;257;225;148;21;18;5;15;13
144;2818;972;940;139;44;9;139;99
28;587;255;68;28;11;6;26;12
30;828;568;178;27;21;3;16;14
27;791;693;141;28;26;13;20;18
36;359;196;115;32;18;2;25;20
24;778;167;77;24;8;5;24;5
120;1853;1029;963;100;52;13;84;69
100;2360;221;910;83;9;5;65;54
15;100;59;62;10;7;1;5;5
140;2028;995;506;137;79;25;128;123
16;305;111;79;7;2;1;5;3
32;329;82;94;12;5;1;9;2
24;479;116;296;21;3;0;17;10
36;817;671;160;36;30;8;34;23
30;347;198;143;17;10;0;14;13
24;258;5;111;23;1;6;14;12
20;41;20;21;4;0;0;3;3
27;145;89;54;12;11;1;5;5
24;152;52;77;11;7;4;11;10
90;674;418;342;72;40;10;46;17
15;240;86;37;10;5;1;3;2
38;279;129;82;16;13;2;13;10
12;120;15;56;11;0;1;10;10
40;266;204;94;23;22;6;17;16
15;40;13;27;10;1;2;7;7
28;459;76;115;24;0;6;19;18
15;237;43;58;9;0;2;4;4
35;180;128;137;21;14;4;17;14
33;528;261;138;32;14;7;28;27
35;252;121;129;22;9;4;14;13
52;643;409;300;47;26;4;42;33
15;142;18;61;14;0;1;13;11
14;148;45;76;16;3;1;13;12
48;906;255;318;30;4;2;28;17
34;782;384;145;29;17;10;29;29
18;775;362;93;16;9;4;14;13
15;175;103;58;11;9;3;9;9
24;304;173;78;23;14;2;17;16
24;951;153;76;18;2;2;8;8
56;412;72;306;31;2;2;24;21
15;189;11;72;8;0;2;7;7
24;281;179;86;21;16;6;17;11
15;152;12;70;7;0;4;6;4
48;1214;827;373;44;32;5;44;26
34;1166;616;147;34;22;21;33;30
20;722;571;138;22;17;4;14;9
30;487;52;127;30;3;13;24;19
45;537;106;328;19;5;3;14;10
15;252;7;93;10;0;4;9;9
30;353;13;159;25;0;8;19;15
14;308;24;71;12;0;2;9;4
48;706;241;328;31;11;3;26;24
30;423;204;165;26;12;7;24;23
34;366;199;128;29;16;5;22;17
24;145;62;48;6;4;3;4;2
30;132;90;44;18;10;5;18;14
95;1942;1172;198;95;73;11;82;21
45;460;29;222;26;3;0;20;17
28;80;44;43;22;12;4;15;14
48;625;190;255;35;11;6;23;23
7;661;254;25;7;0;1;7;1
5;160;28;20;5;0;1;3;0
8;373;141;31;7;5;3;6;0
28;279;137;90;14;10;5;9;3
48;747;569;378;50;37;4;49;35
24;839;152;132;24;6;6;20;13
24;683;123;138;24;4;3;21;14
24;369;41;88;21;1;9;20;16
16;299;220;80;13;10;3;7;6
100;2669;1579;209;100;76;9;96;31
78;776;100;482;74;3;10;65;43
90;2668;257;466;95;6;19;88;60
24;155;74;80;12;5;1;8;8
18;203;136;90;14;9;5;10;10
35;396;237;177;24;11;8;10;9
35;243;177;135;26;15;2;23;21
35;274;233;149;24;23;6;22;18
35;535;244;203;30;10;0;24;23
68;423;36;204;64;2;9;48;46
18;174;62;69;16;4;4;15;15
100;1861;350;659;106;24;13;102;59
30;305;178;61;20;11;0;7;5
18;115;50;47;15;8;3;13;11
15;31;12;19;1;0;0;1;0
35;2186;1488;232;32;26;10;26;17
35;448;259;130;25;14;5;13;8
30;299;202;101;26;16;14;24;21
15;169;33;66;9;0;4;9;9
96;810;455;429;64;40;4;58;47
34;1076;601;135;33;24;7;25;25
33;779;85;115;32;2;5;28;27
40;1001;453;284;39;19;10;34;28
15;277;49;66;9;1;1;7;4
28;248;30;84;16;0;1;16;8
20;189;107;62;7;2;1;6;5
15;81;41;18;1;1;1;1;1
14;320;156;72;14;9;1;8;8
28;208;24;97;21;1;3;17;17
36;377;72;111;35;1;4;29;12
12;117;19;39;4;0;0;1;1
15;91;1;59;12;0;7;12;10
45;665;61;341;34;1;3;26;18
12;107;49;25;7;2;1;5;5
15;44;7;29;8;0;1;8;8
35;71;44;54;15;9;4;11;10
24;198;93;95;4;2;1;3;0
35;637;274;145;32;16;7;28;10
70;104;35;91;41;15;3;18;18
45;639;103;328;29;6;3;27;19
24;116;43;52;18;6;4;17;15
21;313;32;89;22;0;7;17;15
17;233;108;82;10;6;2;7;6
24;760;478;115;22;19;6;11;7
18;302;48;48;7;0;1;4;3
35;1647;115;218;35;1;3;31;21
162;4216;1960;833;174;75;32;166;110
24;406;316;80;24;17;2;12;10
18;85;34;49;8;2;1;5;4
35;309;221;99;35;25;3;28;25
24;138;20;93;8;1;1;6;5
24;142;16;60;11;0;4;10;10
17;127;42;53;6;0;0;5;3
32;352;133;107;21;11;2;16;4
34;775;405;159;36;19;4;33;30
30;211;74;108;16;3;1;7;5
35;543;275;166;18;13;5;16;14
18;245;192;100;5;4;1;5;4
24;125;9;49;25;0;3;22;22
24;727;357;70;15;10;3;9;9
18;112;98;61;12;11;4;11;11
24;117;54;62;14;8;1;2;2
16;559;451;81;19;14;3;12;3
78;845;408;402;74;33;7;60;57
44;350;46;241;29;5;4;20;16
42;887;264;192;44;10;3;25;16
80;901;235;367;81;15;4;80;66
36;1097;581;172;33;19;9;24;19
52;638;60;293;51;4;3;43;30
50;337;188;145;43;28;3;33;23
106;2161;1060;469;117;74;24;100;71
24;174;94;79;21;13;7;16;15
16;153;26;49;12;5;0;9;3
30;252;118;99;19;10;3;13;12
17;203;113;61;13;9;3;12;5
30;505;94;99;29;2;11;23;18
15;309;58;50;13;0;1;7;7
38;228;146;115;23;12;1;19;15
28;128;11;58;25;1;3;25;19
8;13;2;9;3;0;2;3;3
20;76;43;47;7;2;0;4;3
24;431;116;100;20;1;4;18;6
35;855;380;211;24;12;4;18;13
24;627;235;127;20;5;6;17;12
15;184;12;92;12;0;1;10;7
10;184;8;54;8;0;1;8;5
24;124;5;56;15;0;4;15;15
35;272;210;132;29;22;4;24;19
35;224;180;121;23;19;6;18;15
35;1553;764;252;28;16;13;25;24
24;797;531;110;23;20;2;10;10
35;1007;536;117;28;17;6;16;13
30;680;105;125;33;3;9;29;28
24;371;328;122;21;18;10;17;16
15;246;76;50;14;4;0;8;7
15;190;19;43;17;1;6;17;17
84;678;320;467;46;21;2;36;31
104;1612;324;637;102;19;15;83;71
15;92;3;42;12;0;4;11;10
168;2014;935;635;163;74;39;141;124
52;1098;341;156;56;27;8;35;20
25;458;250;156;26;14;5;22;11
52;135;15;129;22;2;2;14;12
15;120;6;43;14;1;3;13;13
35;375;174;161;20;13;1;13;11
24;128;81;68;19;14;6;15;15
35;521;155;113;17;4;3;14;11
35;431;227;134;13;7;4;10;9
24;567;68;87;21;1;5;17;16
48;1339;401;518;43;13;3;40;31
35;406;175;138;25;11;2;19;17
35;373;158;169;29;11;4;27;26
40;173;11;111;33;2;3;33;32
16;209;27;74;12;0;2;11;7
28;126;32;72;15;1;3;15;12
112;793;168;519;97;19;6;66;40
16;25;14;21;9;5;0;6;6
48;328;213;236;27;19;2;27;24
35;543;296;180;18;10;4;15;13
15;54;7;40;9;0;1;5;5
24;477;307;150;24;21;2;24;20
25;487;316;119;29;18;3;27;21
24;271;180;76;12;10;5;8;8
35;713;474;232;29;23;16;23;22
30;203;23;74;30;4;7;30;28
24;501;261;120;24;13;3;15;13
35;371;176;146;29;14;10;25;25
15;134;20;41;9;1;2;7;6
15;98;2;48;9;0;4;8;6
24;130;11;67;16;0;5;12;12
56;606;111;360;57;5;12;35;23
35;319;206;125;22;20;3;15;15
35;390;208;164;36;23;3;15;13
35;694;294;141;33;15;11;27;25
15;83;63;38;7;6;1;6;2
24;195;12;75;24;2;9;24;21
15;144;9;55;14;1;5;12;11
24;266;200;117;24;15;7;21;20
60;261;125;139;51;25;9;41;41
24;187;128;67;27;20;5;16;15
62;752;378;353;64;36;16;46;43
24;490;327;193;11;5;0;7;5
48;200;117;110;31;16;1;16;15
19;316;130;65;9;1;4;8;5
33;587;243;100;28;17;10;24;24
35;393;196;141;26;10;4;19;14
24;434;232;121;16;8;4;12;11
38;523;188;80;32;13;11;24;22
15;115;25;42;16;3;2;9;8
22;175;85;80;16;5;3;12;12
33;694;293;109;27;9;15;25;22
48;931;331;393;43;12;7;27;24
30;597;401;173;24;17;6;19;16
30;508;294;144;25;13;5;18;14
60;1165;845;313;58;37;12;32;29
30;264;24;68;24;0;10;22;22
32;445;276;134;23;17;9;11;10
32;455;195;129;26;9;14;17;16
96;1205;431;581;92;31;5;85;78
35;823;413;101;34;16;15;27;27
48;197;24;133;52;6;10;27;24
30;220;16;75;25;0;11;23;23
24;323;192;77;24;13;16;23;23
70;1523;1115;307;76;61;19;50;36
35;587;479;142;33;33;8;20;20
23;1244;969;162;22;18;5;13;9
35;387;247;131;29;19;6;17;16
35;244;19;60;30;2;3;22;22
35;27;8;26;6;1;0;4;4
48;252;91;135;10;6;0;6;6
35;366;175;119;32;20;11;25;25
34;339;300;82;18;15;3;15;15
28;62;5;37;15;2;3;11;11
40;316;39;115;32;1;4;21;21
32;222;114;102;18;11;3;11;10
32;315;140;96;17;5;0;5;3
30;244;30;111;13;1;0;8;7
30;117;21;67;12;1;1;7;6
30;351;71;43;15;2;0;3;3
34;163;85;71;21;10;1;10;10
78;465;41;287;41;0;8;32;22
54;275;120;155;38;14;8;22;21
18;76;43;55;11;7;1;4;4
43;254;221;155;25;24;7;22;22
36;193;49;104;30;6;5;25;23
35;235;22;84;25;1;7;19;18
110;787;438;508;113;69;16;113;66
30;109;9;50;14;0;3;10;10
42;195;36;146;27;4;0;16;16
183;3580;2704;939;177;132;50;146;96
35;864;437;102;28;24;13;23;22
15;142;22;42;15;2;5;15;11
35;352;146;94;16;3;10;14;14
59;361;182;164;47;24;23;37;37
48;452;115;220;43;3;2;37;22
35;269;170;93;32;25;10;21;21
35;1151;551;131;27;22;4;12;10
15;124;10;46;12;1;1;11;11
22;480;213;82;18;8;4;16;16
48;202;136;132;22;14;6;20;16
22;194;25;67;22;2;8;16;15
23;499;189;92;20;7;5;11;10
22;232;154;82;17;14;3;10;9
15;186;20;50;10;0;1;10;10
33;999;515;135;30;16;9;19;18
16;232;73;56;11;3;0;4;3
35;550;287;120;34;21;17;34;34
22;154;87;71;15;10;3;12;10
24;196;100;96;22;13;4;13;10
24;93;63;49;7;5;1;6;6
27;253;104;58;13;11;3;10;6
56;291;60;186;35;9;3;24;23
56;214;127;148;31;14;1;17;5
42;47;36;45;12;9;3;9;8
35;488;283;132;24;17;7;17;16
15;136;23;56;11;1;4;8;8
15;216;31;81;11;1;4;7;7
35;429;257;103;37;27;17;35;34
35;312;199;111;22;15;10;15;15
35;830;465;144;35;26;8;19;19
33;264;140;108;23;11;11;17;17
32;289;185;64;28;23;21;25;24
32;259;76;87;15;2;5;11;11
35;451;269;201;29;15;8;13;13
24;323;158;96;7;5;4;5;5
35;434;223;108;29;14;13;21;21
30;186;85;67;30;16;3;22;10
30;44;12;40;22;6;6;22;22
40;273;127;117;37;13;14;34;33
25;189;85;50;6;2;0;5;5
52;242;48;173;44;7;8;29;28
32;538;237;93;37;16;2;27;12
36;753;402;156;25;19;5;18;13
15;88;8;60;8;0;2;3;3
96;266;119;195;71;29;14;54;46
66;738;60;309;75;5;18;67;61
36;139;59;97;34;14;13;29;27
35;229;121;103;29;13;6;15;15
40;280;67;113;28;8;3;22;20
95;2185;638;556;95;18;6;94;48
96;803;535;448;75;52;8;72;52
35;835;720;148;34;31;12;23;14
32;735;111;132;28;2;7;18;17
35;585;273;172;40;22;6;33;21
35;580;268;184;31;14;8;27;24
15;130;14;87;13;2;1;9;6
24;202;25;68;23;1;4;17;15
12;74;34;29;1;1;0;1;1
30;216;27;107;30;1;7;19;16
70;730;552;251;69;53;18;66;44
15;263;35;83;12;1;4;12;8
30;309;28;116;27;1;2;19;17
30;181;7;114;24;1;2;16;9
35;297;205;171;24;17;3;19;17
48;1012;671;399;45;31;2;42;21
